Epoch 0, Loss 133.56069946289062
Epoch 1, Loss 86.42350769042969
Epoch 2, Loss 50.14016342163086
Epoch 3, Loss 24.596773147583008
Epoch 4, Loss 9.262439727783203
Epoch 5, Loss 3.012763738632202
Epoch 6, Loss 3.934899091720581
Epoch 7, Loss 9.275636672973633
Epoch 8, Loss 15.861798286437988
Epoch 9, Loss 21.035303115844727
Epoch 10, Loss 23.413066864013672
Epoch 11, Loss 22.886985778808594
Epoch 12, Loss 20.13550567626953
Epoch 13, Loss 16.130598068237305
Epoch 14, Loss 11.81862735748291
Epoch 15, Loss 7.953271389007568
Epoch 16, Loss 5.025513172149658
Epoch 17, Loss 3.253610134124756
Epoch 18, Loss 2.6132872104644775
Epoch 19, Loss 2.895862102508545
Epoch 20, Loss 3.7824747562408447
Epoch 21, Loss 4.921299457550049
Epoch 22, Loss 5.994814872741699
Epoch 23, Loss 6.76747465133667
Epoch 24, Loss 7.088845252990723
Epoch 25, Loss 4.510931968688965
Epoch 26, Loss 2.698390245437622
Epoch 27, Loss 3.136711835861206
Epoch 28, Loss 4.571914196014404
Epoch 29, Loss 4.757721900939941
Epoch 30, Loss 3.7755565643310547
Epoch 31, Loss 2.7899296283721924
Epoch 32, Loss 2.5901196002960205
Epoch 33, Loss 3.082185983657837
Epoch 34, Loss 3.606336832046509
Epoch 35, Loss 3.6599392890930176
Epoch 36, Loss 3.257124185562134
Epoch 37, Loss 2.7599806785583496
Epoch 38, Loss 2.531999349594116
Epoch 39, Loss 2.6710221767425537
Epoch 40, Loss 2.961376190185547
Epoch 41, Loss 3.0953500270843506
Epoch 42, Loss 2.9618327617645264
Epoch 43, Loss 2.701496124267578
Epoch 44, Loss 2.5283162593841553
Epoch 45, Loss 2.54000186920166
Epoch 46, Loss 2.6702687740325928
Epoch 47, Loss 2.778714656829834
Epoch 48, Loss 2.77315092086792
Epoch 49, Loss 2.666353940963745
Epoch 50, Loss 2.5452890396118164
Epoch 51, Loss 2.4941163063049316
Epoch 52, Loss 2.5308072566986084
Epoch 53, Loss 2.6014909744262695
Epoch 54, Loss 2.6338276863098145
Epoch 55, Loss 2.6000940799713135
Epoch 56, Loss 2.532701015472412
Epoch 57, Loss 2.4858453273773193
